feature,mean_abs_shap
network_packets_dst_count,2.0746067
network_packet-size_min,2.032596
network_time-delta_min,1.704706
network_window-size_min,0.8027946
network_ports_src_count,0.4644484
network_time-delta_avg,0.40284452
network_ips_dst_count,0.36855718
network_interval-packets,0.32340488
network_packets_src_count,0.28050688
network_ip-flags_std_deviation,0.2767105
network_time-delta_max,0.27520317
network_macs_src_count,0.24065086
log_data-types_count,0.229457
network_time-delta_std_deviation,0.2219044
network_ttl_std_deviation,0.21443217
network_window-size_avg,0.20732318
network_window-size_max,0.19891405
log_messages_count,0.19879963
network_payload-length_avg,0.1863312
log_data-ranges_min,0.16652542
network_payload-length_min,0.16228186
network_payload-length_max,0.15174247
network_protocols_dst_count,0.14606905
network_tcp-flags-syn_count,0.14315718
network_window-size_std_deviation,0.13832374
network_ttl_avg,0.13508862
network_payload-length_std_deviation,0.12367163
network_header-length_min,0.116481945
network_ports_dst_count,0.09199308
network_packet-size_std_deviation,0.09174294
network_tcp-flags-rst_count,0.09138711
network_mss_min,0.08854232
network_ttl_min,0.0880044
network_ip-flags_avg,0.06433563
network_tcp-flags_avg,0.05787989
network_tcp-flags-psh_count,0.045501977
network_ttl_max,0.025642652
network_protocols_all_count,0.017707637
network_tcp-flags_std_deviation,0.016101336
network_protocols_src_count,0.012392115
log_data-ranges_std_deviation,0.0
log_interval-messages,0.0
network_mss_std_deviation,0.0
network_ip-flags_max,0.0
network_ip-flags_min,0.0
network_header-length_std_deviation,0.0
network_fragmented-packets,0.0
network_tcp-flags-urg_count,0.0
network_tcp-flags_max,0.0
network_tcp-flags_min,0.0
